author,message
Muziwakhe Skhosana,"@Somahash i don't think we'll ever hear that
thando cezula,somahash please be an adult! @Sandile you can switch to another channel Zuma was for his pocket and his family - never for black people!
Sandile Khowane,when is she testifying about State Capture? @thando cezula is there another channel where events of the inquiry are different? 🤔
Thato Lekoma,ANC is fucken corrupt yere... polokwane Conference 2007 was the game changer in South african politics and governance those who were hungry were voted into power... those who were elected in polokwane are responsible for this current mess
Ts'epo Tumeli,Man U 1 : 3 Man C in case you have forgotten
Tamaryn Petersen,mmm Gigaba again
solomon simelane,@Keryn imagine him in your mouth 😂😂😂
ShabA74,"so many words
Michael Myers,that's right hound. it's a shame @hound How is it possible for these people to run a black country and its resources. did anyone also watch the job summit. South africa has no serious technical jobs directed to the black people @hound @marc South Africa president said they'll start manufacturing trains with the new company gibela. 61% is owned by France and 30% by South Africa ..... How are South Africans moving forward. this is a lie. And most of the investors I saw were German Indians Chinese..... yeah. I was researching everything I could and most of the job training is done outside of Africa . they are no manufacturing of phones or anything most is from China and Europe that means we are dependant on these countries and continent for our clothing food and shelter. South Africa is labelled the best of Africa.....i disagree. South Africa is economically dominated "the problem is the black government the ANC has deprived the people of money to develop in education supposed to cater to the majority. that being said blacks are the majority
Takalani Luthada,people who were elected by 2007 in polokwane are all who led the countto these mess and Malema now he makes a lot of noise about them whereas he campaigned for them and bet with his life
Chris Welensky,do yourself a favor. watch on youtubr Mark Patey Executive Lecture
CUTMAKING,Lol Thando
Vuyisile Ngesi,en nou? black out?
Ndumiso Buthelezi,Am waiting for Gordan
Lunga Mzimba,@Desmond Thursady
Des,If these idiots who are in power can stop looting you'll realize that SA would not need to be making loans from abroad "@Hound just you wait and see my dear "Yes Up to this day China still practices open racism and are not apologetic about it. Ask any african living or and or working in China. There's places were black people are now allowed to enter. ... and the SA lays a red carpet for them
Nozipho Thembeka,Lol
Zolani Mnqika,😎 Former President Must Come And Answer Aswell
Danie,@Hound we would have been locked up
Ayanda Kleyi,@Eslon Eslon I was castigated by my friends when I said exactly that. Here is a man who is said to have a corrupt relationship with a civilian by the court. And you go and make him a statesman. FOOLS @Eslon Eslon Today they can't even look at me in the EYE when they say I was right about this CORRUPT guy
Mr Jones Parker,Mr is the current CEO of Transnet #Thando Nkutha Yes @Thando Nkutha He is on suspension as we speak They say he was fired 10 days ago #Thando Nkutha
motlalentoa letsosa,This state capture thing will damage ANC
olga mayeza,"which black people @Sthakathi 
