author,message
Waterbearer,“Your ship”🤩 Seven helicopters followed by an Airbus land at a military base says our country cd have been invaded by a foreign force and our country distabilised all with the assistance of our military Air Force Anyone know what eventually happened to Anderson? Did she also get an Ambassadorial post? Thanks @Robert Russell
joe nkabinde,its very painful to see or leseaon
Pheladi Lamola,I don't understand why there's an argument over people preferring to speak their language.
Toibo wa Toibo Antimba,I think it was going to be so interesting of Mr Mnisi as a witness not Interpretor so energetic
Charles Sambil,The mic level of the translator needs adjusting....🤣😂🤣😂🤣
Paul Mkandla,you cannot cheat judge zondo
Viru Talk,h
Khotso Lehloesa,eh eh eh eh eh eh eh njalo njalo eh ehe eh eh eh eh eh eh eh eh eh njalo njalo eh eh eh eh eh eh eh eh eh njalo njalo
Mr Q,Yose can you stop this attack on zulu people.. iyadika!
Hester Ferrezuelo,How do you become a Major and can't speak English? @Yose Human so you are saying this major was employed by a white person??? Are you that ignorant? Every word is recorded - so you expect one person to be able to type in all 12 languages? Does that make sense?
Sindiswa Moolman,Is this the same guy who was speaking isiZulu yesterday? Forgive me... I have just joined the proceedings Is this same Zulu guy we had yesterday @Thando Nkutha? They look alike @Thando Nkutha. Thanks Ewe @funicanz I understand e kanjalo njalo... Hahahaha @Phumla Setlhoke Don’t think there’s any American watching @Nathaniel Perumal It may survive because of those who are on the other side of the law love it @goolamv. These ppl vote the EFF because they feel protected. "Yes... the Party supports invading the land From us... tax payers @Moahi Hlapolos? I wonder Zuma and the Tony&Atul talk about when they speak now...What threats are they making against him and does Zuma tell them?
mandisi ntauzana,Molweni ziyakanjani I proceedings "But our brother who is interpreting why does he call the judge ""your ship""" Legally Michael we don't have anything Called warship your Worship is magistrate and Lordship/ Ladyship/My Lady is Judge
Peet Venter,Molo Mandisi @Michael Wild Dont lower you language standards
Gladys Motsima,DIRECTOR KASESOTHO KE MOTSAMAISI THE INTERPRETER HAABUWE TSONA MAN
Jacob Rampou,Prudence😀😂😂
Neville Watson,How can you trust this guys with our army This people can speak English but they play dumb He can read English A lot of incompetent cadres running the show
weaverbird b,Ooooo wow look at that Money speaks all language
Glorify Gumede,Why do people think that speaking in your own language means you don't understand english. This could be a form of protest @Derek Main I don't know but i know that you know @Derek Main that is the point hence the protest @Madelein Huxtable they not only able to speak english but they are expose to a fast pace environment The question is why should other people be accommodated and who's responsibility it is to do it? in other words should one compromise their own life just to accommodate others? individual freedom @KEITH SINDILE DINABANTU your speculation about being trapped in not far from the truth. We make mistakes all the time and it's our people who are first to laugh so why blame these guys? General was once deployed by UN to lead the armies in Congo
Madelein R,@Glorify Gumede - I think that people who has an important job like he did would be able to speak English. But I also understand that it is a stressful situation and his own language is better fro him
Cobus Opperman,"Tony stone Madelein Huxtable👍
Nyasimi Geoffrey,Morning by brothers and sisters from south africa just logge in who is the witness today no more stupu stupu of yesterday THis man s very professional sober and articulate to duty Now Just a point of question WHAT BUSINESS DO THIS GROUP OF INDIANS MESSING IN SOUTH SOUTH AFRICA> hahahah looking for integrity in rubbish bin hahahhahahah you can find unused condoms
FIKILE DANIEL Nomandla,When are they starting again Didn’t miss much- people in here are more concerned about color
Jean-Pierre Le Roux,"@Norman Zwane 
Thembelani,Molweni... what have i missed ? "@thando Thanks Fikile sho #Thando
Kay Kgole,Ret major General Mgwebi yes i agree Ret Major General Mgwebi
Abongile Ximbi,"This is one of the Sharpest Generals i know
Nate P,"Google translate Happy 4 of July to any Americans watching. "@ Norman "@Ibo "we send raw diamond @Makhosi... yip BNP was signing everything without reading at all... you goto just gasp at the disrespect to proper process. I call it the Gupta effect.... "@Ibo "@I am free "@thando "@Ibo
Fikizolo OFFTraffic,"any1 outchea drinking wines
Godfrey Pilane,"This is very articulate and on top of the enquiry
Dams daily motivations Madamalala,SOUTH AFRICAN
wisani ndhlovu,general mgwembi former UN commander in the DRC
Gareth Morgan,"whos this guy  anything important said ?
Tich Ziny,Very professional this General I must say
watson mutanga,"The main issue confronting majority of people around the world is financial illiteracy "Oh "You can hate a certain group of people along race lines
Moahi Hlapolosa,It's disappointing we have to be exposed to this level of incompetence from our army People got rewards for landing the guptas Sindiswa thats the sad part They are now ranked higher in the army This army tires Zondo hence the extended lunch
Shadrack N,protected by EFF?
sanele songelwa,everyone needs to look on point when amongst other people
kaapstad18,Who is giving evidence now?
Tito 2000,The DCJ is so quiet today.............🤔
Jeffrey Kangara,"@nelson musoliwa
Zama Kubheka,hello ppl...who is the criminal today?
John Tamang,😊
