author,message
lubha lubha,@goolamv i guess you are a great one hey. hence u hv time to post on you tube
Lorna Kavanagh,"Moyane how depressing to hear Mcbrides opinion of the SAPS.
Crispian Gallon,@goolamv true. Sloppy work done. But Tom will still have to pay Adv Dali @Magda Seguin so true and the Adv is making money was KPMG report not scrapped
Wandile Khowa,Zondo is drinking his second bottle of water in less than 45 minutes. Why? Pravin's lawyers left in the morning just before Zondo started with judgement Interesting....
Norman Zwane,@Keatlaretse Phetwe Arread Aree justices not obliged to read their judgements? @Nkanyezi Vilakati Just for you I hope he drinks 11litres and not just 10. @Thando Nkutha Gordhan is no Angel but I guess even small devils fera the devil incarnate - one Tom Moyane "@ofhie Muofhe ""Rogue""? I'd ask the guys who came here in 1652. We were fine before then "@Eslon Eslon That is the long version of this pathetic application. Short version @Tshepho Kekana Moyane ukopa ispeech esingamfuni "@Vuyo Ngewu Mpofu will advise him to go to the Concourt @ryan john Who by maybe? @Madelein Huxtable Nah just enjoy the 'Party'. I'll go to any party on the 8th and have a lekker jol myself. @Madelein Huxtable That's the party I will be at. If they offer ballots with the starters I'll sommer tick whatever will get me a lekker dop. @Johnny Cash May 19? Dude are you ok? "If the Moyane judgement takes this much "@Vuyo Ngewu ""Excited as a virgin boy in a high class brothel""" "@Eslon Eslon Ever piicked up a 'MAD"" magazine?" "@Nelson Musoliwa State resources being used to sort out personal scores McBride may also be guilty of taking his battles to the commission. The thread of fabricating testimony in exchange for jobs is nonetheless correctly located here. @Nelson Musoliwa There were enough greedy people to fight for positions and forget about their principal task. Zuma only needed dangle a carrot for the infighting to commence. Long theory speech that makes sense but some evidence would come in handy
ofhie Muofhe,His thirsty this has nothing to do about black people who came up with the word Rogue unit @Norman Zwane lols right. rogue unit create an understanding that the unit was not reporting to anyone. looks like some people are here for work purpose vote eff alone its fine @Quintin Jacobs who stole a loaf of bread and went to jail for 10years kick them ryan DJZ your boring now. this is not a book reading Race capture???????? i saw Julius say he would form a new party with the ANC "These people where able to translate the bible to every African language but they cant translate academic books to Sepedi When last did you use that yellow ruler
Blessed Ndongeni,that's too much water for sure
John Kamogelo Thobejane,what this people want from Gordan let them pay tax there protector gone(moyane).
what?,@Quintin Jacobs how much do they pay you to troll? @Quintin Jacobs do you support Moyane?
Thembelihle Vukani,"Is this Adv Dali Mpofu's incompetence? Why did he not comply to the requirements? Point out the point of contention & offer an alternative view I think Mpofu is a quota player in this field. Just my view. @Vuyo Nguwu: And he's probably paid a lot -for such a shoddy job. uMpofu. Why does Moyane seek to cross examine without putting his version? Mpofu 🙆 "Lol "Ag "Lol
Makwa Choma,We are in this mess becauss of ANC "The counyry is borrowing billions a month My honest advice is people must stayaway from the ANC DA is a better devil of the two i agree with you Madelein vote for DA PLEASE DA to retain WC ANC officially going to forfeit GAUTENG N NOTHERN CAPE Cape town better governed come to Mpumalanga n Limpopo ANC WILL LOOSE 3PROVINCES I WILL BE HAPPY TO SEE ANC LOOSING SEATS FROM 249 ATLEAST TO 200 THEN I WILL COME HOME Goolamv ur very wrong EFF will never have agreement with DA Please understand the nature of that working together Is not permanent agreement EFF IS POLITICAL PROSTITUTES TODAY THEY VOTE WITH ANC ON LAND TOMMOROW WITH DA
Tshepho Kekana,SO MOYANE IS NOT IMPLICATED!
Vuyo Ngewu,Moyane ask for your money back from Dali Mpofu Dali Mpofu is weak and useless Can this ryan john be blocked please - his too excited for nothing
Maanda Manyatshe,looks like Mr Moyane will loose his application to cross examine Musa Bakiti.... but you are already in Africa gugulethu Dube.... you are so right Judge Zondo is thorough shem...
Nosiphiwo Zantsi,@Magda Seguin The PP released a report on Estina @Magda Seguin She will not issue another report on the matter I am aslo suspicious of this PP There is a lot of fake news out there @Magda Seguin and @goolamv Where is the evidence of the EFF and ANC working together? The DA elections propaganda in the Western Cape is that EFF and ANC want to take the province together. @goolamv I am with you He will be allowed on one or two themes Yes @Johnny Cash Go and vote them out on May 19 @goolamv and @Magda Seguin The DA is working with the EFF in Tshwane municipality The DA is working with the EFF in Johannesburg Municipality@Magda Seguin and @goolamv @goolamv I agree @Makwa Choma How is the DA governing Johannesburg when it is only the second biggest party? @Makwa Choma Is that not an agreement? @Makwa Choma How is the DA governing Tshwane when it des not have an overall majority? @Makwa Choma You do agree that it is an agreement (permanent or not)
Peet Venter,"The DCJ should in summary call Dhali out for poor representation and advice to his client in as far as reasonable prospects for succes to cross examine. Alas """to say the least"" "" he failed to do so""" """the applicant does not make any effort""" """interestingly""" """why is it necessary""" Mpofu is only in it for the money taking advantage of the stolen money. """there is no evidence""" Great lawyers should give great advice. Mpofu consistently fails... Pravin did his homework before giving testimony knowing that Moyane would love to have a go at him on spyrious grounds. He's no fool...
Wilson Hishono,he must go and start farming and live without worries he has millions anghiti...
Leo Simango,"@Ryan John they surely will loose a lot
Lihle Kupe,"that's why I will never be fooled by EFF
Wallace Mandimutsira,whats going on here guys am late its denied
dave newman,this judge had the chance to ask question during the presentation but he did not because he wanted to refuse cross examination
Johnny Cash,The ANC IS PURE CORRUPTION Come May 19 we will remove these thieves in my lifetime ✊🏿eff 8 May 19 we will remove the anc from power and never apologise in my lifetime Only one with no brain will vote for corrupt ANC dirty thieves ✊🏿eff ANC is the party of the corrupt and the brainless fools come May we will remove them and never apologise in my lifetime ✊🏿EFF ANC is CORRUPTION that is all 30% is an ANC voter Kill the ANC corrupt We will expropriate nkandla come May 19 and never will we compensate Then you will have to die you corrupt rat @ musa bakiti
Fils de l'homme,Goodday to all BANTUS Hello to all Caucasiams hi to all Coolies and hottentots "@Musa Bakiti u r in Africa @Makwa Choma VOtefor the FREEDOM of the TRANSVAAL @ryan john VOTE for the FREEOM of the TRANSVAAL @Quintin Jacobs what do u mean my broe @Musa Bakiti u will be welcome to the transvaal @Nosiphiwo Zantsi vote foor freedom of transvaal @Thami Ngwenya vote for the frredom of transvaal @@Johnny Cash vote for the frredom of transvaalo
Thami Ngwenya,ANC is going to win prepare now ALL PROVINCES anc DONT INSULT WE HAVE BRAINS You can put any party in our current system you will still talk about corruption especially procurment Pravin is our member dont racialise. ANC "EFF Cadres on whose instruction Thin line between the party and government. C omission should look at that LOOK AT PARTY INTEREST AND GOVERNMENT IS A PROBLEM NOT LIMITED TO ANC but is the responsibility of the parliament to look at failing system "BECAUSE OPPOSITION LACK IDEAS
Neil Bromehead,"@ryan john your leaders steal all your money
welton paulse,Mara seems as if Monyane just made up stuff to Cross examine Gordhan Mpofu bathong!! I think Monyane is too emotional about this whole saga shame why dont they just say no cross examination will be allowed?
AGARO WANJE,Moyane bathong!!!
sipho michael,"Dream on johny cash
kenneth mampa,"@Norman indeed this will take forever Aaaah Zondo with foods This is like DD chasing Supra calling him thief
Paulus Moselane,some people are lucky they are above the law
Melvict Melbourne,We should get people to breed within their own means
Nkosinathi Ntshangase,"I want to testify at this inquiry
Tshepo Mashikinya,"yoooh "the strenght of a cae matters @Allan Tshuma .... this application had no merit. there was no where where they wanted to cross examine what Gordan said
Aubrey Moloi,Zondo
delphin yvon Moukouma Mboussi,Of course it is dismissed What the waste of our commission time!
Xabiso Dubasi,DISMISSED YESSSSSSS
Patrick Esau,puppetry in motion notwithstanding. just lost faith in this commission. pravin was just an innocent bystander
William Chabalala,This inquiry is a joke!
