author,message
Mhlengi Meyiwa,zondo 🙄 in all what you say people you must know that politic is a game of hypocrisy
SONGEZO MNCOKO,this witness is really unpacking nothing but the truth "Khalid Mather "Khalid Mather "Khalid Mather
Bozza,Singing like a bird
Philani Sokhela,baze baziphazamisa uZondo ngemibuzo engenasidingo.
MammoduAb Komane,yeah Money is going out just like that. Grey bags but their bank accounts must be obtained and transactions be verified.
Mandla Ntswahlana,Hawks are on standby "Unless Cyril can consider reshuffling ministers and remove Mantashe
Lwazi Senzo Ntshangase,"Ramaphosa the busaa "The state capture is not about tribalism IFP is the perfect party to be voted VBS looters @yose what is your qualification
Donald Geyer,yes claim the land back without the ANC ....
cl4hisown,yes khalid...dagga party "anc never "a wise man once said "justice "as the anc said "the anc is a collective and thats how we will hold them accountable then yes @thando vote them out "guys never dagga party "until eff come clean about vbs "yose this is not about zulus but criminals be is protecting criminals "the anc allowed this cassius they protected zuma thank you jack
peter pott,"this will play back badly on anc We live in a constitution where you can't video tape people without their permission "@Human " "@ human "@human "@mandla
Moshakga Gladwell,OUR OWN ANC TJOO
Zack blade,eff is the only savior left Viva eff viva Eff is our savior Eff must govern this year Eff Eff Eff Eff Eff Eff Eff Eff Eff Eff=our land is coming back… Viva eff viva Eff Eff Eff Eff Eff No white should never ever near the seat of power no more in this country… We will send to the sea soon… We will you to the sea soon… Sure
Tshisevhe Ornert,EFF must tell us about VBS
Justice Khomo,these are individuals not ANC
Xolisa Melamane,nzala ndini yamarhamba!!!
Phillip Matlou,this guy is spilling out the beans.yerrrrrrrrrrrrr
Precious Ntshangase,"Who is translating here on SABC screen ??Jeez Adjourn not Jen Male not Mail 😂😂😂😂😂😂😂😂😂 "@Yose...your hatred for Zulus won't take you anywhere. We are here
Phillip Moshapo,DA must also appear before the State Capture Inquiry because they are also not perfect
owami,"leave EFF out of this. Let play the ball in the field right now @Magda Seguin ANC only know bribes and corruption pls say that as well Socialist Revolutionary Workers Party (SRWP)
Zamo Ngobese,@Magda Seguin do you think we will vote the DA of all parties?
Julia Mabula,eff
Bongumusa Mabika,This is quite grisly. I bet its not only Bosasa and the Guptas wo use this modus operandi to keep competion at bay. StateCapture is huge.
Nozipho Thembeka,Why people hate zulus 😳😳😳??? Is ANC zulus ???? Can we watch state capture Zulus are fabulous 😂😂😂😂😂😂 Stop sending same text @Yose Human !!! Thanks Thanks Andrew!!!’ Bulali 😁😁😁 And then Same problem 😳😳😳😳
Marang Setshwaelo,Sho! south africa our land!!! *weeping*
Damaking Alie,"Are you people focusing "Toni..I notice that those tribes where not so diverse as ours No he is no holding a paper he was showing discusison with
constance mnywabe,Since the start of this commision Agrizzi is the only one to come with tangible evidence
Jack Sparrow,@Yose Human​ Geezuz enough already @Sonke Mzana EFF is ruled by hate @Damaking Alie Nobody's killing you "@Cassius Mngomezulu ANC allowed Zuma @Lwazi Senzo Ntshangase @yose is qualified in sowing hatred being a bigot WMC!!!!!!!! Prize!!!!!! "@Cassius Mngomezulu Malema represents hate
Thabo Tshesane,Hello south Africans
Choco Cookiez,....
Adolf Gabriel,This is very interesting i enjoy it in Namibia What does BOSASA stand for? @Thando Nkutha i didnt change my name
Ntokozo Cele,Zulu's are your haven on earth bro
Nkateko Baloyi,zulus are crooks loool period
Fouche Wiid,"Hey Cassius Focus on the bloody issue at hand "@Khalid Mather
Heinrich Lombard,Toni John. you are an idiot for referring to Australia and Canada. shut up if you can't say something sensible thank you Jack Sparrow.
xolani mzolo,African nation
Leb M,what is this chat.....? you guys are still trolling?? SAD SAD SAD
Mphathi Mzizi,What does amaZulu have to do with what is going on here? And when did the ANC become a party of amaZulu?
NoLimitsEnt The Wall Edition,"Wow
Ty Thoabala,"@Yose Human is 100% CORRECT. Very
Phindile Mazibuko,but what went wrong with my anc for ys to end up having this sort of ministets ministers iyho anc with this Gangstar
Brennan Fredericks,VLC fail
Musa Ngonyama,SHAKA WAS A MURDERER NOT A HERO
Bulali Dazana,Nozipho Thembeka cela inumber
Warren Munyika,watching from zimbabwe
Sino.M Msane,who taking this video??? thanks @sandiswa neva steal with a white person they don't have backbone. "@Thando uChair ufuna ukuyizwa kahle lendaba yemali. "@Jack "@Yose
Nico,"Magda  look the the stack of money.
Charles Nkadimeng,🤔
rudzani ralph,"sabc just see a million n it freeze
Thembeka Mteti,these people are so corrupt yesses!!!
what?,time to run interference
Auti Mjita,Dumelang Any bombshells yet? Is the JAN-U-WORRY engaka mfo @The Jack-all Mara this man is a snitch hahhahahahahahahahah "for the whole of 2019 ntwana "the only thing IDI did was to give Indians 90 days to leave his country...next thing he is the devil @Buyiswa Mnyani The problem with South Africans is selective hearing. "@Buyiswa Mnyani I am chilled sisi @The Jack-all Block that thing @Buyiswa Mnyani I cannot say he was or not. My response was to him being demonized unfairly
Jan Badkamer,@SABC Digital News sup with sound
Elmon Lekoloane,something's wrong with the sound
Mzoxolo Mncanywa,monopoly money
israel nkuna,yhoooooooooooooooooo corruption in South Africa is very very over dose yerrrrrrrrrr!
Bulelwa LETICIA Makhanya,"yah! is bad now
Lungelo Ngwenya,is it me or the sound is awful yeah Agrizzi was getting paid top dollar for his loyalty what they were doing was illegal so he is trying to escape the law or lighter sentence
Gcobisile Matafeni,Sound 😣
Cosmos Chipepo,Sound is not clean!
Buyiswa Mnyani,no political party is clean. Vote with your conciseness. Helen Zille awarded her sons a tender to supply computers to a school in Khayelitsha. EFF has it's scandals etc. i say better the devil you know sometimes. What i like about these revelations is that all Races are involved in these skeletonyanana "I see Idi Amin in Malema @Chris Welensky thanks for the correction. borrowed? from who? @Auti Mjita i love these educating session. thanks @Chris Welensky enkosi buti @Auti Mjita it's new yr please calm down. please @Chris Welensky lol uthini? @Auti Mjita ok. would you say Idi was a great leader? you and i just chatting in the spirit of you educating me
Darlington machilar,So now they decided to bribe a sound controller as well This was the biggest heist ever
Trinity Lovermore,"This is so sad. Thank you Thuli Madonzela for your State capture enquiry
NOMKHOSI Netsianda,Anyone please explain for me What business was bosasa doing specifically
David Floris,Please fix the sound
eric laka,This guy is incriminating himself and everyone else. gangstarism went wrong here. "this guy must be given high security protection perhaps private security ai maybe u have a point Hillary
Fils de l'homme,"Guys Bosasa stants for BANTOUS OPERATING SO ACTIVELY IN SOUTH AFRICA Malema is like all bantus It looks like caucasians are more patriotic than Bantus Bantus love chicken @The Jack-all it is bcz bantus love chicken
OLWETHU NKOMBISA,what🙊🙊🙊
Dams daily motivations Madamalala,mr Agrizzi is Super Rich He will continue AQUIRE Malema will be Shocked by Million Rand & Sell our land chicken "Even Black There is Song call ""you can love them all & Trust no 1 """ The money tht was supposed to be Given to Employee & Improve Our Economy was spent Recklessly As long as your in power Corruption is the case whether u like it or not
Melvict Melbourne,Malema can't even rule a donkey
Bas Mdaka,Whites are scared of Malema lol "@Peter Staffen its a fact Van Mthondo lol
PETER STAFFEN,Bas Mdaka now were did you suck that out of Bas Mdaka you can tell nothing as he just a boy with a big mouth
Kutlwano Ntlha,Why don’t they just let the video play without interruption and then again frame by frame?
Victor,Order of chicken
Theophilus Molatelo,ke nna mokone wanshi digolo lepika letswalela ngope stop voting for leaders who abuse their power😪
Sebastian Danze,​Cyril said the money from Bosasa was a 'donation' for his campaign....... this President that trades.
Thabo Mashike,I am certain there’s a lot that will be discovered through this state capture inquiry. "I wonder how much Agrizzi earned while working for Bosasa @goolamv this guy was promised immunity if he snitched
Joshua Smith,nobody else click on that link
Hilary Christien,Can the security be trusted?
Caleb Chauke,its raining in state capture inquiry..You cant hide in SA
Simphiwe Nkabinde,This guy has BALLS
brett murray,chickens coming home to roost
Neo Mphahlele,he was all the way in everything in that cult immunity from NPA for his side to tell truth from his operations
Elloise Van Rooyen,Hi fellow South Africans and everyone else It must take a lot of guts to do all this knowing the dangers besides the law He does not implicate anyone without implicating himself He has and he is surely not attempting to pass the blame of his own doing. He is witnessing a video that was made after he left the company? "I do hope everyone realizes that our beloved country is in trouble and if it is not for this testimony as well as many more to come "On his own accord
thando cezula,We need to cleanse this country of the ANC Snitch? His conscience! I applaud this gentleman! He is spilling the beans at the potential threat to his life And he has implicated himself! I'D RATHER HE SNITCH THAN LIVE IN A MAFIA STATE! So what Thando? As long as he's lifting the lid on our corrupt government So what if he was disposed of? THE ANC MUST DIE! All existing BOSASA contracts with government must be terminated! Thando that's inconsequential! Ekugqibeleni he is now coming clean! The circumstances don't matter!
phila nhlonipho,YES IT CALLED SNITCHING ROBERT WHERE ARE ARE GETTING THIS INFO?
Sonwabile Langa,"but... who goes there and confesses to his/her transgressions? He worked for that company for 17 years
Ram Makardood,This GUY should not be allowed to GO home. He must be arrested immediately SHAME SHAME SHAME
Elizabeth Komichi,ok
Ocean Potion,"Hes admitting to assassination now to? Hectic Well thats BEE and affirmative action for you... "Not exactly @Thando Nkutha *hospital
Jane .Blamire,hate him or love him....we need these whistleblowers to bring this corruption out Agree Elloise
