author,message
Gift-Jah Certo,im late. so he doesnt wana b cross examined?
Dieter Myburgh,"now that he is in a corner he want time to think up more lies
mxolisi buthelezi,"Estina
gumedenq12,petrol will go up after this lol
Mthuthuzeli Ntlanyana,sing the so g "zuma z laughing
Ronald Katlego Pilane,They just had a fight didnt they?? They just had a massive fight and they are lying to us
carnoth ngomane,Cant wait for estina
Yandiswa Guzula,Estina aka Ace Magashule NEXT...👏
PETER STAFFEN,what a load of crap
khulu Radebe,"THERE GOES THE TRUTH
Dominick Zitha,fair enough
collen khangwelo,I want my Tax money back!
Godfrey Mashegwane,next week is I KNOW NOTHING ABOUT THAT
Silas Mashava,"had Mr Zuma came prepared with his side of the story
Happiness Radebe,Nxamalala asinavalo asina sibenza kanzima
zan morris,fight back here is waiting for Cyril ..Zuma is too clever with PP
francis phori,Surviving once again
A.C.D. Skill Development Centre,"Have a gr8 & safe weekend u all
Jabukadaiza Daiza,no way out for mxolozi it's just a long rop
Mkateko Genge,he s a stupid...can't be responsible for his action
Andani Jarana,we been waitin 4 this
Thifhulufhelwi Mudzielwana,✊✊✊✊✊✊✊Zuma
XOLILE MLANJENI,"This man is playing about us
