author,message
Wendy Greeff,No way can he defend this smoke and mirror decision he took at the time He executed directives from his boss and made reasons as he went along. They were not going to tolerate any resistance to their masterplan He knows exactly what is truth and what not but he will never admit his part in the masterplan The Commission will NOT get him to admit to anything. He will duck and dive to frustrate and tire them. "He is definitely boring Z and all of us
Connie Du Preez,lost the subject
Kevin Simon,All in can conclude at this point is that we deserve better public representatives than this guy. He hardly seems to have applied his mind to these matters while minister. Calling for clarity did not suit his agenda. Simple.
Kevin Davis,lol anc get taught from early to lue and deny and the president will do the rest
MIKE DURBAN,Lie and Deny everything......cause there is just too much at stake for these Commie ANC Cadres.....true ne My fear is that only the small fish will fry.........they will be the Fall Guys etc.... "Geeeez........My heart bleeds for our country......to think..we WERE up there .....with the best in the World...and now......""Cry The Beloved Country""....we have truly...gone backward...what a shame" @Cerebis ...You mean the Commie ANC Cadre's..... @Bophelo Malapela ...yes...better leave it alone.... @Bophelo Malapela ....Go on....now blame the Covid virus on the pale skin guys... @Bophelo Malapela ...You been Brainwashed fella... @Bophelo Malapela ......yoooah.....you rally are a bitter and twisted Bra....ne.. @Bophelo Malapela ....don't like the backlash....hey.... @Kerry van Schalkwyk ......this type of person...will always play the race card.......they have nothing else to offer i'm afraid.... Spot on @Mpotseng Lebentlele ..Bra's like you....... @Bop..........shame...Bra......get rid of the bitterness.....it's taking u down man..... @Bophelo Malapela ....the same to you...Bra... @Bophelo Malapela ....I'm just being kind...Bra... @Craig Johnson .......So true Bud.......so sad Some people just can't let go.........
bongile sango,he must stop duck and dive @Bophel McBride is coming next month why every time washing hands Mr Nhleko you are soo arrogant
Venecia Moore,This is the same guy that said Mr Zuma need more money for Nkandla
Sal SA,Rendition of 3 Zimbabweans back to law authorities in their country Not sure Monique Thomas he's the previous Minister of Police aka Nathi Nhleko And so on.... Kerry ignore that guy That's why we lose nillions because peoplehet side tracked. so let's focus on this hearing sorry billions Wee Sanitize my friend Wee break Will be back shortly Please lets focus on issues of the commission Finish this guy today - we've heard enough with just long drawn answers Nhleko is cornered - watch him digging a hole How could he use an incomplete report to take disciplinary action. NPA was also complicit Reports can be manipulated NPA was also corrupt and he knows that Nathi is sounding a lot like Mugabe - same droll Delaying tactic like his ex boss
Mike Mike,"coruption coruption  Nothing will change Kerry Sorry... I agree Kerry cheers monique I'm out can't watch this boloooks
Samkelo Matyhila,"By choice or through the system
Tommygun,"New to the stream
Thulani Bukani,this guy doesnt say anything. typical ANC
Zwai,@Thomas Cleghorn its the guy ho claimed a swimming pool is a Fire Pool
LUTHO MTANDEKI,whats happening now?
Yalezwa Daniels,on regulations Sibongile and we are afraid of corona are you not?
Quest,whats going on this guy is trying to run proceedings @SABC News PLEASE FIX THE CLICKS IN THE AUDIO
greaton Jothi 950,vivin Oliver Iyer post ngorcoil gracelin fund for Tambaram municipal higher secondary school jeya prakash TL qualification round sir RIL kallakuriji 0.70
fana Mlawuli,"stop this charade
Latela Nkwana,ya tsena dulang botse 😀😀😃😃ke mmao
postmaster,can we get a better evidence Leader here? this guy is toothless.. bring the Hoff no apologies Bophelo... your people bow to the lowest common denominator... that prevents progress as a civilization
Olufemi Ijalana,This is just a waste of time and money. This is just a waste of time and money.
R hunter,Slippery fish comes to mind...! Deserves to go to jail for helping steal and covering up the looting! @mpotseng needs a tranquilizer
Afro Collins,So Pienaar van Wyk you are starting with your misleading stats "Pienaar van Wyk ​ the cars that you say black people owned....are those new cars or fixers that fell off from your garages as you wanted better ones
Mohamed Mia,@pienaar yes they fed rubbish and made to believe
Gwyn Matthews,the challenge is we need new political leadership in this country forget da forget eff forget ifp no vision what about Ramphosa after covid has devastated SA
Paul Chimenyera,:yt:
Noxolo Tshabangu,@dominic przybylski you have hit it he nail dead on it’s head! We are however dealing with a kleptocracy... the ANC very much like their predecessors are corrupt. SA has been in a worse position.
Duckie Duckie,hahaha
Val Speirs,:oops:JIBA now we are making sense. The Engineered Chinese Covert - 19 virus was designed to put the world on Pause and Reset the global economy. It was intentional and political. Only the fittest will survive. It is amazing that apartheid has not been the blame for the Covid 19 virus:goodvibes: The Chinese engineered virus is not a conspiracy it is a fact. Say what Bop?? Singapore didn't have blacks either.
Kevin,Its simple...If a public servant earns say R 100 but lives a lifestyle of R 200 then there is a problem. What happened to the lifestyle audits ????? Maybe this is true for ALL public servants. From the President to the dustbin guy...they are all meant to be public servants. The sooner that is realized by the citizens of this country the better. They are accountable. We pay their salaries. And I am being forced to become a criminal by buying elicit cigarettes. 😂😂 Personally speaking. The entire world needs a reboot. Nature needs to take over and do a clean sweep. This Covid is a warning. We need something like ebola to become airborn. Let the strong survive. @Dominic Przybylski ....precisely. Us humans are destroying everything. Remember....humans are animals just as an ostrich is...Apparently we are only more intelligent. On the live world COVID count list...We are no 5 with only a population of 55 mil....and we are not even testing properly. Face facts 😂 When we do something we can really stuff it up... @Kerry van Schalkwyk .....very nble and well done. But you still a criminal because you buy illicit cigarettes and alcohol 😂😂😂 "Why was apartheid unique to South Africa ???? As we speak Cheers everyone....[ray for our country tonight....
ishmael Mokotjo,"These corrupt petty tyrants masquerading as leaders just make me angry
gert pretorius,cANCer stand accused Why focus on division ? Why focus on division ? "We have possibilities if we focus on what binds us .. family  The problem is market fundamentalism We are being colonized as we argue "Mpotseng  🥴 We are human The judge has patience is all i know Let Zondo be our example He has no arresting powers "Bophelo  There are many whites that cannot see a role model in another color I know it is sad though Cu
Mangalani Mangalani,@Bophelo you are lying Soweto has regressed since 94 @Bophelo Malapela I should know. When last have you used a train to Lenz or Naledi @Craig Johnson We stopped ages ago. Only ANC “cadres” are still stuck becaise they are benefiting There’s no excuse 26 yrs later Black non-ANC cadres @Bophelo Malapela non ANC people
Wilson M,Anyone who still votes ANC is a danger to us all.
Mike du Preez,@Craig Johnson That will never happen. It's to comfortable. 🙂 Apartheid didn't go for 400yrs. Bopis a racist. 🙂 @gert pretorius dis snaaks @Kevin South Africa gave it a name. 😞
Anthony Ramasike,@Kevin..that is very..very..strong
Singi Mathebula,"after 26yrs ANC comrades continue to blame apartheid to cover their evil deeds😭😭 "the corruption by ANC thugs has taken us back to over 300yrs of apartheid rule . the question is arrogance us a sign if weakness this guy us useless to say the least 🙄 so you want to put questions to yourself? another day with this stupid?
Cedric John,"when all is said and done
William Pieters,This chat feels like a perfect cocoon for breeding incredible conspiracy theory's. Apart-Hate... Bop is a Hater
ONKE MHLAHLO,Mr Nhleko is very smart with responses lol
Maxwell Muza,too much examples
Gina deW,Mr Fire Pool ducking and diving - liar
Bulelani Nyingwa,This bra is being difficult and I sense he knows something.
Salvation Trading Enterprise,pleace thank you 😍😎😄😚😗
