author,message
CURIOCITY,KANYE
Teunis van Ree,I can't understand how Biden and Trump can be the best the USA has to offer. bye goat🐐 Haven't seen Myburgh before Old age is catching up on Thuli
Pheladi Lamola,He's disappointing me now this witness Yes DCJ. There was dereliction of duty on his part.
Romario. Nkosi,@ Bradley exactly maybe their relatives "the boiling point mapoma thinks that the adv is playing gambling game not knowing that these guys have more evidence than he may think
leon pillay,do any of you on this chat have the intellect to follow the inquiry ? Try reading the comments here....
Jabu Malinga,at the time "language was different 10 years ago ters no settlements..only payments to steal once crooks com in eskom se push "seleka was laughing yesterday "Zuma has been implicated everywer "how now they goin home..hahahhahaha thats wat u call productive people
Dumisani Nqetho,Probably
Mbuso Ndlovu,This guy is playing tricks with his voice. Mbambeni angabaleki I;m kind of confused of Thuli Madonsela's plea!!! Mockery.
Mondli Mncibi,zondo is misleadin himsel dhd NHM K UPHENYA IBHESHU LOMLUNGU zuma was better
Heather Durr,So 'from where I sit' has moved to 'it is my view' First rule of Law: Never ask a question if you dont know the answer "@Eddison Mhlongo Its because we know the consequences that it is difficult for we attorneys to answer
Mandla Silubana,:dothefive:
Simmy Ndlovu,"Rox😂😂 "@Naledi "@Naledi "Rox 🥰Naledi "we have 2 guys in court today "@Naledi this time I have faith we going somewhere "Diana they said so but he already sent his money to Italy bought a house and a care there @Naledi . Amen to that "@Diana did he remember that? @viva!rainbow nation "our witness is angry now "@Johannes Rox and an orange suit😂 "@Eddison
luzuko masoka,the battle of Lawyers
makhosi nobhatyi,Thuli Madonsela must just keep quiet and enjoy her pension not to tell us what to do "@ Eddie Reddy @Eddie Reddy yes I understand that I have no problem with that for them they can get amnesty but instructors and money receivers must be prostituted n served jail time "Zuma n Guptas
BOIKANYO MOLOI,@Mr K Lakhan ʕ•ᴥ•ʔ we cannot flood the system by typing when is our family meeting with the president
Little Wamu with Christ,his voice 😔
Eddie Reddy,@makhosi if you follow Tulis advise you will be a better person "@ Makhosi "@ Makhosi I am with you "@ Naledi "@Naledi CDJ and his commission is giving great relief to the honest people in SA. "CDJ is having fun Stop it Myburg this guy was outnumbered Game was a link to no. 1 "@Rox "Say it man "@ Lennox
Lethabo Maesela,🤣🤣 mkhwebane got the job. she is way worse lol this commission makes even experienced lawyers behave like idiots. i can't wait for magashule's appearance
T.J Dludla,"all appearing before Zondo are prison ""chiskop"" ready" 🤣🤣🤣🤣🤣 on your sword "when caught lying even in prison this lawyer will still be a twisted lawyer
Senna Aubrey,no budget for chiskop having winnable casu but you opt to settle nkandla college high up the minister
Evans Lidzhiga,"This man
Ntsapho Njisane,There are allegations that Watson might be still well alive
vhutshilo mugudu,what is the outcome of the agrizzi bial application zuma again
TW Ntshingila,what he just said???
Sagrys Adams,hahaha deviation deviation very hot seat vandag chaile lies always have a way of catching up with people hahahaha i don't know anything
Mahlori Mathebula,Hot seat
Ozzy Ozzy,Haha I like this guy This adv is on fire haha hahah lies lol kubi kubi baba useless leaders Chair
Prns Chrmng,🔥👏🏾 The prawns and corns.
kevindbn007,lol out it deep adv.... eish "oh gosh- context of the questions you just read your view go on Myburg.. Maaaaaaaaaaaaaaanga you must verify ur lies you pop decision to settle.... settle nicely in your cell they perambulating now
mazet,ouch 😢😢😢
Lindamakhosi Ngogodo,Ingathi kuyashuba ngoku
Jonathan Moatshe,It's over
Katlego Ntshekang,It's over.
johannes mailula,it seems as after being corrupt other diseases are developing so that everyone can feel sorry for you and this time we will never feel pity for anyone we do not care whether you were president or SG the other problem we facing is small cats are protecting the big cats that s why this commission takes so long. maybe he does not want to understand English so well this guy is a joke thumps up myburgh grill him ola advocate! No judge Zondo is going nowhere he needs to give Msholozi a chance to clear his name whats wrong with that guys eeish DCJ got big brains guys he can remember everything this lies are telling him they forgot like chickens hahaha! you see what i mean guys correct my chief if you donot loot you fired hey yah! No the where taking everything belong to the people He can not remember things from 2009 miraculously he can remember things back 1960 its a kung fu master Lethuli house prison will be over populated next year is maboma why his lips are red witch doctor
Nkululeko Zondo,"We are slowly turning the point in SA
Nomonde Dr Nolutshungu,“Evaporate”
fuzile dazana,check mate check mate hebaana sweating yhoooo the adv is all over him np djc according to agrizzi lawyers watson is alive im lost
Richard Ngcanga,Bakubambile Mr Advocate
Paseka Thendo,yes we do
lizzietitana,Hot 🔥 seat
Tommygun,"it means @Kumaran Govindsamy Kinda thankfully most of the time we dont do that kinda thing in this country yet. @Kumaran Govindsamy us all!
Zolile Dola,Mr Adv.please forgive this Man he's totally lost now. Thanks Sir
Tay,silver bangles please He is shaking now Adv Myburgh is a Professor of Law "I dont know No I dont I dont @Daniel Chos3nking 😃😃😃 Mr Bomb-ma Reinstatement on steroids! what was going on? Did I hear from the President??? Wow @Rox Thats righjt NKAAAAANDLAHHHHH I will not be surprised I get arrested
hirsitus,DCJ 🔥🔥🔥
