author,message
Kieron Sinewave,Hello hello .... 😂 Cool story how long is tea?
Paul Buchel,"Morning all "@Peter Prentice​ "@Gift Mazibuko​ "@Louis C "@ALTA "@Louis C​ "@Andre Gerber​ "@Eion Gaum "@Zinhle Big Daddy Dee
Some guy,I'm looking quiet grumpy myself today 😤 chair has no pen? ure kidding me😤 seagulls 😐... gosh when is this day ending 😒 gosh.... can we get a break already. this story seems too long😠😤 I don't know man😒😒😒... mana "pffffffff😤 SEAGULL....😡 I need more juice from u sisi. ure not doing me right.....yooo help me thixo🙏🙏🙏🙏🙏🙏 Seagull we're eating Chinese noodles here😑 "this is wrong. that's all classified information!!! shouldn't given to the public "seriously hahaha 😡 I'm not impressed by this at all😐 "anyways """State Capture"" sounds like an awesome block buster title already. I hope South African writers are busy scripting this." u ain't seen nothing yet. SeaGuy. @Loius C yeah? pffffff😤🙏🙏🙏🙏... is it still only Tuesday the answer is NO😡 Thank you "I'm sorry aaaah now ure talking. moore mooooore 🤗 yeeees give me More 😀 tell me I suck 😄 I need middle fingers guys.... let me see them from? tell me I'm stupid... 🙏😀 ahhh phucking tea😡 okay let's Vote. All ANC press 1. All DA press 2. All EFF press 3. All others press 4
Carmen James,@Blake Yogi . I agree. She is well spoken and confident as well @Vuyisa Msomi . LOL!!!!! He is very interested Bester is telling the truth...He very wisely deposed to an affidavit about this meeting immediately
greatnation69,bester doesn't appear the sharpest tool in the shed
Gugulethu Xhosans,Who is this nzwakazi now? Shiceka """I didn't say he was an idiot""😝😝😝"
Aubrey De Bliquy,Why can't we get more of these smart black people in positions of government service? Why all the dodos. It is not as if there is a shortage from what I have seen. Chair being friendly. Surely it is more beneficial and economic to refine the manganese at source which reduces the freight volume to a fraction? Is it a question of every job looks like a nail if all you have is a hammer? @SanFran Arnold We don't have electricity to smelt/ What do trains run on? free energy? "Then we need more electricity That is circular logic @SanFran Arnold @SanFran Arnold Circular logic again. The same applies to a host of industrry. You argue as if smelting is the only industry that cannot deal with load shedding. I have plastic injection moulding customerss for whom load shedding is devastating. the plastic dries in the mould and it is a massive time consuming clean up operation. @SanFran Arnold All that may be true without it detracting from my point. The manganese is going to ultimately be smelted. Avoiding solving the problem does not detract from my point. @SanFran Arnold You make no sense. i am advocating for solving the real problem in favour of smelting and the best economic interests of South Africa. I have no dog in this fight. What's yours? Prescribing sub-contractors is so obviously improper. Why don't they see that? Zondo is professional and meticulous. @Natalie Soine Zondo politely guided the advocate to avoid leading questions which undermine the legal process of impartiality. @Jenny Whitewaves Did you notice everyone falling over one another to embrace the odious Hilary Clinton in 2016 but nobody seems to notice Tulsi Gabbard because she is not corruptible? @Tommygun Wimpy screams frugality and balance. @Jenny Whitewaves True the worlds leading banana republic USA. @Tommygun Your sarcasm didn't go over my head. LOL @a b c I am more concerned about the trillions of dark dollars the Pentagon spends on mischief around the world. I would not expect them to be absent from these open media. @Lennox Rashopola They would need to change the constitution. Not likely. "@12 40 Yes @Walter Zikalala exactly
Vuyisa Msomi,Chair is flirting The huff n puff of lies
Hosia Modiga,hahaha i see Vuyisa We eating the elephant piece by piece Some guy 🤣🤣🤣 They were many number Mfanafuthi Gama me and you😄 We just started John D Mfanafuthi Gama ubhemile ngempela🤣🤣🤣 morning Khanyi ☺ sorry Elton🤣
Sithembiso Nyawo,Seegeels-Ncube SeeGirls😀😀 Ncoooh....Number 1......He was a very involved man shame....sort of like a very hands-on president😀😀😀🤣🤣🤣 @Mzalwane......awubayeke...sifunukwazi...:Lol
Lennox Rashopola,SeeGirls Ncube How will our country be like if the ANC voted in favor to return Zuma to power
Devon Lewis,@Aubrey De Bliquy their outnumbered "DA  A flight risk? wouldn't surprise me if there's a rocket under nkantla @a b c those guys had like 180kg over this dude...one of them even had circles under eyes 🤣🤣🤣🤣 you drop your valuebills and you run
Victor,@Vuyisa Msomi hehehehe sounds the same to me @Blake Yogi yes Number 1 had almost taken over the whole country sign the Damm thing SIgn sign the damm thing "SA is fortunate that its economy was very strong at it's independence
Val Speirs,why do you have to bring race into the equation? we are all Africans😁 "The farming land was paid for and is now bonded with the Banks Malema is a fool Fools keep company with fools And you depend on Boer food to feed yourself and family Terblanche was no favourite of mine . Pastor J J. That is quite a revelation about Terblanche 😳 I did not follow Terblanche. But it is gross. Ramaphosa had no choice but to start the Commission. "The Padayachee "Dont forget the "" Culturalist""." "Malema in 2009 "" I will kill for Zuma""" The Economic Freedom Fools Why do they break for Tea when teatime is at 10am?? KFC zinger wingers for tea 😁 4️⃣ "Singh Evidence Leader is doing well because the witness is a whistleblower and not implicated. Beware of the snake charmers Another 37 year old farmer and lawyer shot and killed last night in Mapumhlanga. 😡😡 War will be declared against the effing party. yes Gupta's must be extradited to South Africa and answer at the Commission and be held accountable. Is Zuma a flight risk? because he has property in Dubai. The curry must have been laced with Diamonds and Pearl's.
Kgwathamane Malatjie,yes I will be voting for ANC
Ntsikelelo Mgxigxwà,greetings lady's and gentlemen
Zanobuhle Sibenya,can I please have Advocate's number
Marcus Mmola,the evidence leader seems in control
BlazerMax18,"Not sure if anybody has stated this. But on this channel it shows that SABC is funded in part or whole by government. Total and utter bs!! SABC is funded by the South African people
thando nicky,lol numbers crushing i see this group today we need more segirls kevin lol gift lol @ndlovu what rights you talking about to be exact
Theo van Zijl,@Zinhle Big Daddy Dee Never have and never will Zuma is number 1 LOOTER
Kena,"I love this advocate already
donald mzamani,adv:virtualhug::virtualhug::virtualhug::virtualhug::virtualhug::virtualhug::virtualhug::virtualhug: Hallo every one
Teunis van Ree,I like this evidence leader @Heather Durr the cute one is Ms Seegel-Ncube
Sipho Myeni,Hello everyone Always no.1 A Gupta republic it was
melds melds,One bright young lady!!!!! "I am confused
