author,message
Dmitry Nikashin,"Zondo always remains so calm
The Vuka Experience,Have we been back long? @Yandi Masina sounds about white 😂 "Anyone defending Agrizzi @Viewing sizakunyisa thina vha! "Block Viewing hiding behind a fake page. If you wanna be racist @Viewing technology is an Asian invention not white. @Viewing even architecture is Egyptian and wholly African. Stop 😂 @Viewing is those coloureds that think they are white. Come get your people my coloured brothers 😂 "@Doom Ruler 😂😂 he comes here with his dinner table facts 😂 @Doom Ruler comrade you have this guy under control 😂 "Anyone saying EFF is VBS @Viewing but the Xhosa fought the first frontier war in the 1700 with the Boer near the great fish river... but they came in the 1800? 😂 you are dumb "@Lavhelesani Ramadingane rubbish @Viewing whites have literally colonised 90% of the world. Who breaks down countries? @Yandi Masina looks like it. Who is next? Agrizzi is DONE
Craig Heath,Myka typical mentality who probably owns nothing Watson is a big Tsosti
Amanda Bentsile,Which one Akambi latata uhleli ecakwa agrizzi @King Snitch LOL @Malibongwe Mthimkhulu blocka lekaka
Doom Ruler,no need for threats in here.... The land Shall be shared @Viewing every race commits crimes @Viewing there are more blacks anyway sooo... Boere and English killed blacks and incited intercultural war go to the history books @Viewing anyway we are here for agrizzi... we can chat about land and farming blah blah on those streams @Viewing We landing for the land homie cleaning out corruption then landing @Viewing you have it totally wrong !!! the internet was invested by the algorithms of a Nigerian mathematician😂😂😂 clearly your history book of European descent ONLY come on 🤥 @Viewing nah bra... your history is fake news... you talking to someone who researches for a living @Viewing you are FAKE NEWS *Trump VOICE* @Viewing is that your response when you are losing the convo 🤣🤣🤣🤣🤣😂😂😂😂 someone get @Viewing a can of soda 😂😂😂😂😂😂 this @Viewing 🤣🤣🤣🤣 Day made @Viewing voodoo needs no gun homie a gun vs which craft??? @Viewing food for thought @david cele he is a computer thug 😂😂😀 @Viewing whats your address bra? @Viewing ahahahahahaha why are you scared all of a sudden? you scared of being voodoofied? ayt... let me get your IP address quick and let the games begin clearly @Viewing maaaad shook @Viewing set up a meet? 😂😂😂😂😂 where did yol get this guy!!!!!🤣🤣🤣 @Viewing uli'bambe linga shoni @Viewing why you so angry? we all out here relxed stop being angry @Viewing we gonna take land ... you must not leave SA...
S Nompozolo,Guys what did i miss lol 🙈 Who are these watson people guys @david cele I AGREE. HE MUST BE PROTECTED
Bridgette Kekana,l like Agrizzi but he dropped yhe Kword they are going to judge him by this eo @Sibisi😂😂😂 Watson was ceo at armscor eff is vbs @ Bas why are u saying that @Bas l wanted to say Kevin Wakeford the chief executive of Armscor l m waiting for Jessie Duarte s name 2 b call bcos her son in law is connected with the Guptas then they are all corrupt to y aaaa @David you are a liar Eff is vbs Anc are devils l think da it is a lesser devil
Abongile Mabona,I hear the Sheep is not indigenous to South Africa. I wonder where we stole it from. Where are these Watson? @Nodz Heunis beacuse This Agrizzi guy is on top of his game. See Mr Zondo Glasses are off now too much Evidence Who taught people corruption? and SONA is on its Way THIXO @david cele even worse after the evidence that has been put forward from this SC Inquiry. "@Viewing who said Xhosa came in the 1800s I refuse to argue with blind fools @david cele I agree with u...He is took a bold step
michael mbatha,That lady is average. There was a better one before in a bob cut much earlier in the hearings. This one is naaaaa
Nelson Musoliwa,I think agrizie is aware that he is to take as much as he is giving because beneficiaries of state capture will never give up without a fight as Joel warned Truth knows no color lets stay posted
Mfazozo Mthethwa,mmmmm
Anne M.,"@Bridgette Kekana yes "@diko tana no Viewing is a trol trying to get attention. @Thomas Mathada I agree with you. I think there's a lot we haven't heard about. @Frik Brits click on the 3 dots to the right of his name and you can report him @Frik Brits 😉 @Awande Mncwabe The prosecutor made it clear that Agrizzi will have to answer for his racist comments. It will be dealt with separately. @Awande Mncwabe 😀 "@Lee news affairs Probably. I would
Jake,english can not kill people! is the is still the Zondo commision ?
RASHID SEIF,violence has n0 african roots unless history was not part of your studies corruption knows no colour "Guptas 
Johan Peens,I agree
Lee Majiya,sound please Thank you Mr Agrizzi for your corporation and for opening our eyes👏👏👏
Bonolo Easy Masomeng,Can you just leave Agrizzi to testify please.
Scyaa Glad's,petrol price likely to go up in Feb
Geomar Services,"Please
S Mhlabase Msibi-Gordon,what now????????
Sandile Mabika,"i am a racist  i dont have time to listen to racist people like the Liar Agriizi. agriiizing the racist
Ruaan Sauls,viewing is a bitter person...and stupid viewings is a scared boy...thats why he is hiding just ignore him man.
Siba Mfabe,"Viewing You not Logie Baird buddy "@viewing "@Viewing  "Viewing is a TV that has no aerial "@Mokheleli Teboho  "@Doom Ruler  Viewing you are losing viewership Baba!! His View is blocked Money started flowing at Johnnic. Viewless. did you know automatic shift and blood banks. black inventions "Street Robots Viewing... @Bronx Wavy included unwillingly. Eish
Van Lier Dreyer,go chair. sloooooww2wwwww this all bullshit hiding what
Tumelo Mokoena,just joined. Any names exposed today? @Anne M. ok thanks sister lets all stop watching the State Capture Commission. It cannot get any better after Agrizzi
Nolan Mutota,Hai mani Grizzman you are racist also
Lebo Pie,Azishe.... Dankie Grizzo...
rella makatsa,let's focus. this is not state capture on land NO TO LAND TALK HERE PLEASE
Denver,eish eish
Dries Koatsman,"This platform is for commenting about the commission not your stupid racist and land issues
Mali Mthimkhulu,Agrizzi is a strong man he was also part of the corruption @Viewing he is coming clean with lots of money from looting @Doom Ruler what is my IP address? Admin please remove @viewing from this chat and block him from Youtube for 3 months aDMIN PLEASE 😂😂 Agrizzi planned this ahead of time. he was smart the law is all about being ahead nothing else Eff will heckle Ramaphosa in SONA they will ask him about Bosasa and andile Ramaphosa there will be no SONA You cant trust Mail & gurdian that is 1 corrupt news company you cannot rely on. same like Daily Maverick True @Kapn Krunch Ramaphosa did not steal to become a billionaire @Viewing Blacks have invented so many things but some of the inventions were not patented and the ideas were stolen @Viewing there is a student from the UCT who invented a water filtration system that was stolen by the Western cape government @Viewing yea do your research about many inventions blacks are smart
Kgomarediyakokotane Nna,this guy is so relaxed 🙄
ahmed mohammed schoItz,Agrizzi for minister of corruption
Takalani Mathada,"I strongly believe Angelo has more to tell "One thing which didn't go down well with me is the fact that Angelo is a racist ✍
Lex Campbell,"Viewing gerrara here man
makhosi nobhatyi,Why proceeding not running? "There are still more witnesses who will come to testify This guy I salute him ✊✊✊Agrizzi ✊✊✊ Manuel is next he will expose Zuma
